site_id,SRR1740054,SRR1740055,SRR1740056,SRR1740057,SRR1740082,SRR1740083,SRR1740084,SRR1740085
10:72234933:+,0.3222639699042827,0.3222480317824071,0.3222609915203794,0.3222527032283295,0.3222529696269922,0.3222563853879366,0.3222565944881216,0.3222555965750284
12:10315315:+,,,,-0.0982374055490022,-0.0982384458579491,,-0.0982364625738891,
12:10315372:+,0.1087121615135362,,,,,,0.108712260692613,
12:98548842:+,0.1349062354365482,0.1349005999055305,0.1349048768958066,0.1348976617403966,,0.1348799454372269,0.1349105905271163,0.1349010138119645
12:98549324:+,,0.1049459648211009,0.1049441901961227,,,,,
12:98735013:+,0.1262132651889328,0.1262081310291198,0.1262159083376639,0.1262125268799875,0.1262046103398404,0.1262154874755258,0.1262097359298902,
13:19672218:+,0.2388465724400759,0.2388424511194054,0.2388553195798069,0.2388465724400759,0.2388537300620752,0.2388504556757657,0.2388442752831144,0.2388359027422063
13:19672882:+,0.2756675192281998,0.2756611169082485,0.2756465395305176,0.2756578185324982,0.2756610524310948,0.2756672231513022,0.2756533923472462,0.2756618365966681
13:19672883:+,0.1306053457565064,0.1306071569072416,0.1305926225341471,0.1306235532973073,0.130587756044028,0.1306146943457285,0.1305989298071808,
13:19672934:+,0.2182242363807008,0.2182196088094062,0.2182190519134242,0.2182326774469549,0.2182366913307499,0.2182226527799542,0.218231189835825,0.2182002941937114
14:20367026:-,-0.0309415535568168,,,,,-0.0309416696880684,,
14:74735840:+,0.2790570483826262,0.2790633388564874,0.2790663803503907,0.2790578865111263,0.2790555426275091,0.2790669227870765,0.2790611723930575,
15:34231753:-,0.036701775184186,,0.0367036218357539,0.0367017069978309,0.0367083730082748,0.0367077936676629,0.0367051858177982,0.0366943403554238
16:29667654:+,0.0912073423662825,0.0912105938461163,,0.0911957421418768,,0.0912154804320867,,0.0912129662554363
16:29668564:+,0.3710946297871554,0.3711034108071286,0.3711043364723417,0.3711060201439742,,0.3710898578026561,0.3711047378888018,
16:29668965:+,0.0857126907884938,0.0857147987731513,0.0857034175673763,,,0.0857109914812676,0.0857150577302571,
16:29669000:+,0.1158394398140024,0.115839713674257,0.1158290954532199,0.115841581611268,0.1158487019004716,,0.1158355043979479,
