,Bcells,CD4,CD8,Monocytes,NK,Neutrophils
10:100232436:-,43.032440800606416,40.59589755186453,43.46601894754824,27.570798951735714,42.778917405183556,19.02780039030904
10:100232925:-,43.032440800606416,40.59589755186453,43.46601894754824,27.570798951735714,42.778917405183556,19.02780039030904
10:100232926:-,43.032440800606416,40.59589755186453,43.46601894754824,27.570798951735714,42.778917405183556,19.02780039030904
10:100233035:-,43.032440800606416,40.59589755186453,43.46601894754824,27.570798951735714,42.778917405183556,19.02780039030904
10:100233052:-,43.032440800606416,40.59589755186453,43.46601894754824,27.570798951735714,42.778917405183556,19.02780039030904
10:100233090:-,43.032440800606416,40.59589755186453,43.46601894754824,27.570798951735714,42.778917405183556,19.02780039030904
10:12831014:+,264.46726907330293,76.92602446519449,57.917110112434536,49.710901112672516,97.9384692716755,143.7074056982252
10:12833566:+,264.46726907330293,76.92602446519449,57.917110112434536,49.710901112672516,97.9384692716755,143.7074056982252
10:14907006:-,69.98681108227824,31.360321317819874,27.62765446265275,31.57768799608897,45.05990444657015,17.446317909151773
10:20284377:+,0.3009556719945905,0.12112726505565671,1.3521103300095905,234.68058765617698,17.941492171298712,174.67911863278638
10:3778225:-,1616.073200273574,1164.5669237702173,1199.3183509208436,3434.4126405115153,1017.6084516291154,995.642731331231
10:49988823:+,2.0529377778764863,2.469030390191195,2.2729538260435773,0.8342553435027643,1.7278469748690026,0.10141181745568961
10:70404397:+,131.31237877105127,221.8120957904891,202.82692635456073,278.57619778577526,260.62137718533,227.58067624745425
10:70422696:+,131.31237877105127,221.8120957904891,202.82692635456073,278.57619778577526,260.62137718533,227.58067624745425
10:72234070:+,193.7900448538274,200.11470270240716,149.6931859045945,81.4486068410915,94.68615320716006,35.115163113926414
10:72234878:+,193.7900448538274,200.11470270240716,149.6931859045945,81.4486068410915,94.68615320716006,35.115163113926414
10:72234933:+,193.7900448538274,200.11470270240716,149.6931859045945,81.4486068410915,94.68615320716006,35.115163113926414
10:72234948:+,193.7900448538274,200.11470270240716,149.6931859045945,81.4486068410915,94.68615320716006,35.115163113926414
10:72234954:+,193.7900448538274,200.11470270240716,149.6931859045945,81.4486068410915,94.68615320716006,35.115163113926414
10:72235003:+,193.7900448538274,200.11470270240716,149.6931859045945,81.4486068410915,94.68615320716006,35.115163113926414
10:72235379:+,193.7900448538274,200.11470270240716,149.6931859045945,81.4486068410915,94.68615320716006,35.115163113926414
10:73249117:-,41.19058404019043,44.402599951000866,36.59275884128245,30.797766819722863,33.92786079012231,7.27316314581336
10:73250083:-,41.19058404019043,44.402599951000866,36.59275884128245,30.797766819722863,33.92786079012231,7.27316314581336
10:73250156:-,41.19058404019043,44.402599951000866,36.59275884128245,30.797766819722863,33.92786079012231,7.27316314581336
10:97664917:+,22.077749881830403,18.91853095047361,35.15171575513216,47.960159395521224,71.0755073107024,5.584216157895131
11:102396871:-,425.5129396821544,916.7711909406547,595.1398364485746,442.33753769698563,217.7857727377003,419.76178970706377
11:108365741:+,347.8118335198462,526.5732681962021,592.1927505918123,70.32380408489531,677.76735638276,63.57217071853885
