,Neutrophils,Monocytes,CD4
10:100232436:-,19.02780039030904,27.570798951735718,40.59589755186453
10:100232925:-,19.02780039030904,27.570798951735718,40.59589755186453
10:100232926:-,19.02780039030904,27.570798951735718,40.59589755186453
10:100233035:-,19.02780039030904,27.570798951735718,40.59589755186453
10:100233052:-,19.02780039030904,27.570798951735718,40.59589755186453
10:100233090:-,19.02780039030904,27.570798951735718,40.59589755186453
10:12831014:+,143.7074056982252,49.71090111267252,76.92602446519449
10:12833566:+,143.7074056982252,49.71090111267252,76.92602446519449
10:14907006:-,17.446317909151773,31.57768799608897,31.360321317819874
10:20284377:+,174.67911863278638,234.68058765617695,0.1211272650556567
10:3778225:-,995.642731331231,3434.4126405115157,1164.5669237702173
10:49988823:+,0.1014118174556896,0.8342553435027643,2.469030390191195
10:70404397:+,227.58067624745425,278.57619778577526,221.8120957904891
10:70422696:+,227.58067624745425,278.57619778577526,221.8120957904891
10:72234070:+,35.115163113926414,81.4486068410915,200.1147027024072
10:72234878:+,35.115163113926414,81.4486068410915,200.1147027024072
10:72234933:+,35.115163113926414,81.4486068410915,200.1147027024072
10:72234948:+,35.115163113926414,81.4486068410915,200.1147027024072
10:72234954:+,35.115163113926414,81.4486068410915,200.1147027024072
10:72235003:+,35.115163113926414,81.4486068410915,200.1147027024072
10:72235379:+,35.115163113926414,81.4486068410915,200.1147027024072
10:73249117:-,7.27316314581336,30.797766819722863,44.40259995100087
10:73250083:-,7.27316314581336,30.797766819722863,44.40259995100087
10:73250156:-,7.27316314581336,30.797766819722863,44.40259995100087
10:97664917:+,5.584216157895131,47.96015939552122,18.91853095047361
11:102396871:-,419.76178970706377,442.3375376969856,916.7711909406548
11:108365741:+,63.57217071853885,70.32380408489531,526.5732681962021
11:108365793:+,63.57217071853885,70.32380408489531,526.5732681962021
11:108365977:+,63.57217071853885,70.32380408489531,526.5732681962021
11:108367126:+,63.57217071853885,70.32380408489531,526.5732681962021
11:108367193:+,63.57217071853885,70.32380408489531,526.5732681962021
11:108367225:+,63.57217071853885,70.32380408489531,526.5732681962021
11:108367229:+,63.57217071853885,70.32380408489531,526.5732681962021
11:108367260:+,63.57217071853885,70.32380408489531,526.5732681962021
11:118748642:-,223.27412266490657,92.71234201366812,328.4741124446452
11:118898246:-,5.499662693749008,44.76561612025213,453.7391548944843
11:44934804:-,138.28682072614242,40.61981001303042,6.525890238507087
11:46678959:-,95.71828044977586,120.92316814626923,91.57475504928944
11:61007594:+,0.1986879156309466,0.154882940974604,662.0039403474954
11:64219582:+,265.8117140749245,411.87662746882927,162.32990503326795
11:64307330:+,28.269625809609742,45.20038049213252,16.629703184167877
11:65321908:+,1.2234829516834926,0.2693664618468457,0.001
11:65375817:-,6.938308454414891,12.080483415402336,85.29706871587902
11:65375897:-,6.938308454414891,12.080483415402336,85.29706871587902
11:65375978:-,6.938308454414891,12.080483415402336,85.29706871587902
11:65581686:+,733.092312606551,720.4063496895754,264.11877617098435
11:65774507:-,676.4284762978798,388.95562304307657,58.25276750615875
11:65774548:-,676.4284762978798,388.95562304307657,58.25276750615875
11:65774680:-,676.4284762978798,388.95562304307657,58.25276750615875
11:65774681:-,676.4284762978798,388.95562304307657,58.25276750615875
11:65775818:-,676.4284762978798,388.95562304307657,58.25276750615875
11:65775919:-,676.4284762978798,388.95562304307657,58.25276750615875
11:65775920:-,676.4284762978798,388.95562304307657,58.25276750615875
11:65775966:-,676.4284762978798,388.95562304307657,58.25276750615875
11:65775986:-,676.4284762978798,388.95562304307657,58.25276750615875
11:65776157:-,676.4284762978798,388.95562304307657,58.25276750615875
11:65776162:-,676.4284762978798,388.95562304307657,58.25276750615875
11:65776696:-,676.4284762978798,388.95562304307657,58.25276750615875
11:65776882:-,676.4284762978798,388.95562304307657,58.25276750615875
11:65776893:-,676.4284762978798,388.95562304307657,58.25276750615875
11:65776909:-,676.4284762978798,388.95562304307657,58.25276750615875
11:65776910:-,676.4284762978798,388.95562304307657,58.25276750615875
11:65776954:-,676.4284762978798,388.95562304307657,58.25276750615875
11:65776988:-,676.4284762978798,388.95562304307657,58.25276750615875
11:65776998:-,676.4284762978798,388.95562304307657,58.25276750615875
11:65777013:-,676.4284762978798,388.95562304307657,58.25276750615875
11:65777018:-,676.4284762978798,388.95562304307657,58.25276750615875
11:65777031:-,676.4284762978798,388.95562304307657,58.25276750615875
11:65777051:-,676.4284762978798,388.95562304307657,58.25276750615875
11:65777103:-,676.4284762978798,388.95562304307657,58.25276750615875
11:74455756:-,51.13806718465359,67.76979001862033,0.0992795704381054
11:74455855:-,51.13806718465359,67.76979001862033,0.0992795704381054
11:74455865:-,51.13806718465359,67.76979001862033,0.0992795704381054
11:74456110:-,51.13806718465359,67.76979001862033,0.0992795704381054
11:74456209:-,51.13806718465359,67.76979001862033,0.0992795704381054
11:769402:-,4.021735445779533,31.77512954418007,62.19272154912835
11:769448:-,4.021735445779533,31.77512954418007,62.19272154912835
11:769458:-,4.021735445779533,31.77512954418007,62.19272154912835
11:769894:-,4.021735445779533,31.77512954418007,62.19272154912835
11:83157398:+,203.7575460060099,150.46910460785438,189.0495501469119
11:8686359:+,63.72060336219458,528.6056824964844,1461.2803907702864
11:8686369:+,63.72060336219458,528.6056824964844,1461.2803907702864
11:8686404:+,63.72060336219458,528.6056824964844,1461.2803907702864
11:8687341:+,63.72060336219458,528.6056824964844,1461.2803907702864
11:93735604:-,18.828409392972976,30.49466407713125,98.3128469427848
11:93735629:-,18.828409392972976,30.49466407713125,98.3128469427848
12:10315185:+,0.56213531400023,0.1178134064208862,3.67691173355894
12:10315251:+,0.56213531400023,0.1178134064208862,3.67691173355894
12:10315315:+,0.56213531400023,0.1178134064208862,3.67691173355894
12:10315360:+,0.56213531400023,0.1178134064208862,3.67691173355894
12:10315372:+,0.56213531400023,0.1178134064208862,3.67691173355894
12:10315387:+,0.56213531400023,0.1178134064208862,3.67691173355894
12:10315861:+,0.56213531400023,0.1178134064208862,3.67691173355894
12:10315862:+,0.56213531400023,0.1178134064208862,3.67691173355894
12:10315884:+,0.56213531400023,0.1178134064208862,3.67691173355894
12:10316458:+,0.56213531400023,0.1178134064208862,3.67691173355894
12:10316476:+,0.56213531400023,0.1178134064208862,3.67691173355894
12:10316495:+,0.56213531400023,0.1178134064208862,3.67691173355894
12:10316549:+,0.56213531400023,0.1178134064208862,3.67691173355894
12:10316588:+,0.56213531400023,0.1178134064208862,3.67691173355894
12:10316637:+,0.56213531400023,0.1178134064208862,3.67691173355894
