site_id,SRR1740054,SRR1740055,SRR1740056,SRR1740057,SRR1740082,SRR1740083,SRR1740084,SRR1740085
10:72234933:+,0.1612903225806451,0.3529411764705882,0.1212121212121212,0.1153846153846153,,,0.1176470588235294,
11:65777051:-,,,,0.3076923076923077,,,0.2142857142857142,
12:10315315:+,0.0932203389830508,0.147410358565737,0.1010830324909747,0.1050228310502283,0.1626984126984127,0.1040723981900452,0.1348088531187122,0.0949720670391061
12:10315372:+,0.1466666666666666,0.1489361702127659,0.1360759493670886,0.1700404858299595,0.2067039106145251,0.1590909090909091,0.1607565011820331,0.1210191082802547
12:10315861:+,0.2057142857142857,0.2234042553191489,0.1975806451612903,0.2,0.197452229299363,0.2198581560283688,0.167235494880546,0.1487603305785124
12:10315997:+,0.1666666666666666,0.1282051282051282,0.1656050955414012,0.13,0.1801801801801801,0.1910112359550561,0.2177777777777777,0.1868131868131868
12:10316495:+,0.1266666666666666,0.1149425287356321,0.1386554621848739,0.1111111111111111,0.1180555555555555,0.0964912280701754,0.0986842105263157,0.0934579439252336
12:50930855:+,,,,0.0697674418604651,,,,
12:68843748:+,,,,,,,0.1666666666666666,
12:98548842:+,,,,0.2121212121212121,,0.2307692307692307,0.0566037735849056,0.1875
12:98549324:+,,,0.1935483870967742,,0.1428571428571428,0.125,0.108695652173913,
12:98735013:+,0.1034482758620689,0.2692307692307692,,0.12,0.1578947368421052,,0.25,
13:19672218:+,0.1935483870967742,0.2,0.1212121212121212,0.2222222222222222,0.1578947368421052,,0.1063829787234042,
13:19672882:+,0.2954545454545454,0.2083333333333333,0.1818181818181818,0.3409090909090909,0.1666666666666666,0.25,0.1636363636363636,0.1428571428571428
13:19672883:+,0.0833333333333333,0.1224489795918367,0.1020408163265306,0.1276595744680851,0.0833333333333333,0.12,0.0727272727272727,
13:19672934:+,0.173076923076923,0.1111111111111111,0.12,0.1944444444444444,0.1282051282051282,0.16,0.1728395061728395,
14:20367026:-,0.2727272727272727,,,0.25,0.1666666666666666,,0.1379310344827586,
14:74735840:+,0.1714285714285714,0.1666666666666666,0.2619047619047619,0.1785714285714285,0.2857142857142857,0.1666666666666666,0.1176470588235294,0.1481481481481481
15:34231753:-,,,,0.2142857142857142,0.2,0.2727272727272727,0.1071428571428571,0.3636363636363636
16:29667654:+,0.0583333333333333,,0.0898203592814371,0.0629370629370629,0.0609756097560975,0.0821917808219178,0.0825242718446602,0.0675675675675675
16:29668564:+,0.2615384615384615,0.2191780821917808,0.217391304347826,0.3484848484848485,0.2432432432432432,0.3783783783783784,0.2797619047619047,0.2264150943396226
16:29668965:+,0.1296296296296296,0.1392405063291139,0.1125,0.0967741935483871,0.2444444444444444,0.0833333333333333,0.1304347826086956,0.125
16:29669000:+,0.1666666666666666,0.1632653061224489,0.1573033707865168,0.08,0.1372549019607843,0.0869565217391304,0.1717791411042944,0.1
16:29669624:+,0.1136363636363636,0.0961538461538461,0.0714285714285714,0.1515151515151515,0.0652173913043478,0.2142857142857142,0.1521739130434782,
16:29669981:+,0.0933333333333333,0.147239263803681,0.0636942675159235,0.0852713178294573,0.0743801652892562,0.0921052631578947,0.0693430656934306,0.125
16:29670049:+,0.1096774193548387,0.0974025974025974,0.0793650793650793,0.099236641221374,0.1056910569105691,0.1149425287356321,0.0654545454545454,0.099009900990099
16:29670138:+,0.089430894308943,0.0509554140127388,0.0602409638554216,0.08130081300813,,,0.0538461538461538,
16:29670367:+,,0.0684931506849315,,,0.0588235294117647,,0.085820895522388,0.1081081081081081
16:29670438:+,0.0737704918032786,,0.0543478260869565,0.0510948905109489,0.0610687022900763,0.0618556701030927,0.0502092050209205,0.087719298245614
16:48352442:+,0.1538461538461538,0.1304347826086956,0.131578947368421,0.125,0.12,0.2307692307692307,0.1025641025641025,
17:35271152:+,0.2156862745098039,0.1594202898550724,0.1648351648351648,0.125,0.325,0.1724137931034483,0.2783505154639175,0.2222222222222222
17:35468849:-,0.2613636363636363,0.25,0.1666666666666666,0.2207792207792207,0.2054794520547945,0.1632653061224489,0.15,0.2978723404255319
18:32072155:+,0.1904761904761904,0.1466666666666666,0.1666666666666666,0.1304347826086956,0.064516129032258,0.1159420289855072,0.1551724137931034,0.1451612903225806
19:13773208:+,0.2666666666666666,0.2631578947368421,0.12,0.3333333333333333,,,0.2058823529411764,0.1428571428571428
19:13773924:+,,0.1428571428571428,,0.1666666666666666,,0.2352941176470588,,
19:38868387:-,0.0833333333333333,0.1111111111111111,0.1346153846153846,0.0666666666666666,,0.0930232558139534,,0.075
19:5909608:+,0.1428571428571428,0.1153846153846153,0.2666666666666666,0.2,,,0.1463414634146341,
1:150731136:-,,,0.1904761904761904,0.2,0.1764705882352941,,0.25,
1:150731221:-,,,0.25,,,,0.2307692307692307,
1:150731275:-,,0.12,0.25,0.3,0.1578947368421052,,0.1612903225806451,0.25
1:150731310:-,0.2068965517241379,,0.1176470588235294,,,0.238095238095238,,0.1818181818181818
1:150731936:-,0.2068965517241379,,,0.1176470588235294,,,,
1:150731999:-,,0.2307692307692307,,0.1521739130434782,0.1764705882352941,,0.1351351351351351,
1:150732136:-,0.0888888888888888,,0.0576923076923076,0.1052631578947368,,0.09375,0.1016949152542373,0.1538461538461538
1:150732159:-,0.0851063829787234,0.2307692307692307,0.06,0.1136363636363636,0.125,,0.0845070422535211,0.1851851851851851
1:150732177:-,,0.1034482758620689,,0.0851063829787234,,0.1538461538461538,0.078125,
1:150732771:-,0.1147540983606557,0.146067415730337,0.0714285714285714,0.1079136690647482,0.0769230769230769,0.0531914893617021,0.1180124223602484,0.1851851851851851
1:1663537:-,0.1486486486486486,0.1147540983606557,0.1228070175438596,0.1521739130434782,0.28,,0.135593220338983,
1:1664100:-,0.2068965517241379,0.1428571428571428,0.1764705882352941,0.1304347826086956,0.2083333333333333,,0.2413793103448276,
1:204555737:+,0.1764705882352941,0.2631578947368421,,0.25,0.3,,0.3611111111111111,
1:204556512:+,,,,0.12,,,0.1538461538461538,0.2222222222222222
1:204557531:+,0.2307692307692307,0.2,0.2962962962962963,0.1666666666666666,0.2105263157894736,0.3333333333333333,0.3023255813953488,0.2105263157894736
1:89183643:-,0.0857142857142857,0.1147540983606557,0.0727272727272727,0.1176470588235294,0.0714285714285714,0.14,0.0909090909090909,0.2068965517241379
1:89183695:-,0.0857142857142857,0.0943396226415094,0.0980392156862745,0.081081081081081,,0.1041666666666666,0.1071428571428571,0.1333333333333333
20:36892573:-,0.0967741935483871,0.1347517730496454,0.1411042944785276,0.1343283582089552,0.1878787878787878,0.1610169491525423,0.1647940074906367,0.1367521367521367
20:37519169:-,,0.1935483870967742,0.1282051282051282,0.3703703703703703,0.1333333333333333,0.1764705882352941,0.1159420289855072,
20:45079067:+,0.2285714285714285,0.2337662337662337,0.1949152542372881,0.1604938271604938,0.09375,0.1929824561403508,0.1666666666666666,0.2068965517241379
20:45079200:+,0.1538461538461538,0.2058823529411764,0.2352941176470588,0.2727272727272727,0.3214285714285714,0.1428571428571428,0.2258064516129032,0.2558139534883721
21:33264782:+,0.16,0.1428571428571428,0.1923076923076923,0.3793103448275862,0.2352941176470588,0.1818181818181818,0.1818181818181818,
22:17110376:+,0.0967741935483871,,0.088235294117647,0.1290322580645161,,,0.0555555555555555,0.12
