,Bcells,DCs,Monocytes,NK,Neutrophils,Tcells
10:72234933:+,190.10471899325728,80.28129649450415,76.44986200460876,125.13224885931791,28.90530713722425,191.47349513353294
11:65777051:-,72.92108014992459,139.17093367754532,320.41952554203846,72.06905961385537,791.6448031896844,73.24148977945866
11:74455855:-,0.05883578354982688,102.89282181731531,138.65845983134506,2.709692266195834,87.67971365137174,0.06722769328583607
12:10315315:+,0.4299445917799368,4.923242073291162,0.5036379992154751,1591.5213311125362,1.7008636140417686,86.51214295711668
12:10315372:+,0.4299445917799368,4.923242073291162,0.5036379992154751,1591.5213311125362,1.7008636140417686,86.51214295711668
12:10315861:+,0.4299445917799368,4.923242073291162,0.5036379992154751,1591.5213311125362,1.7008636140417686,86.51214295711668
12:10315997:+,0.4299445917799368,4.923242073291162,0.5036379992154751,1591.5213311125362,1.7008636140417686,86.51214295711668
12:10316495:+,0.4299445917799368,4.923242073291162,0.5036379992154751,1591.5213311125362,1.7008636140417686,86.51214295711668
12:50930855:+,0.001,0.001,0.001,0.001,0.001,0.001
12:68843748:+,62.43584062187324,82.04489671024177,97.04133334207272,88.64247310778957,251.24458910519664,63.68328105723825
12:98548842:+,172.31690374962096,244.2412636617041,167.46824412550768,113.74659448517954,0.5492792497555264,171.01617103689208
12:98549324:+,172.31690374962096,244.2412636617041,167.46824412550768,113.74659448517954,0.5492792497555264,171.01617103689208
12:98735013:+,69.96885267468389,161.53904665037865,251.136895569045,78.75764510969779,294.51408776720575,61.0636499431243
13:19672218:+,176.45015432516232,115.57171684279925,86.4424019214344,158.8971079855094,95.1675452343644,240.27420032522613
13:19672882:+,176.45015432516232,115.57171684279925,86.4424019214344,158.8971079855094,95.1675452343644,240.27420032522613
13:19672883:+,176.45015432516232,115.57171684279925,86.4424019214344,158.8971079855094,95.1675452343644,240.27420032522613
13:19672934:+,176.45015432516232,115.57171684279925,86.4424019214344,158.8971079855094,95.1675452343644,240.27420032522613
14:20367026:-,331.6998039570324,335.5879517293794,238.15402395763726,176.20757914874682,178.31402136382343,123.59067945607225
14:74735840:+,41.431628523804534,35.33311752390598,36.31883808093098,48.543775861667996,14.526669557379932,47.734315756437795
15:34231753:-,251.09529991137128,132.13370691010732,241.26571560423594,133.47631686011766,943.9134733067323,238.50999256899644
16:29667654:+,14.200747863326825,771.4887367409397,182.1887748478838,870.8572078017288,1.0966786876086525,346.76134052137644
16:29668564:+,14.200747863326825,771.4887367409397,182.1887748478838,870.8572078017288,1.0966786876086525,346.76134052137644
16:29668965:+,14.200747863326825,771.4887367409397,182.1887748478838,870.8572078017288,1.0966786876086525,346.76134052137644
16:29669000:+,14.200747863326825,771.4887367409397,182.1887748478838,870.8572078017288,1.0966786876086525,346.76134052137644
16:29669624:+,14.200747863326825,771.4887367409397,182.1887748478838,870.8572078017288,1.0966786876086525,346.76134052137644
16:29669981:+,14.200747863326825,771.4887367409397,182.1887748478838,870.8572078017288,1.0966786876086525,346.76134052137644
16:29670049:+,14.200747863326825,771.4887367409397,182.1887748478838,870.8572078017288,1.0966786876086525,346.76134052137644
16:29670138:+,14.200747863326825,771.4887367409397,182.1887748478838,870.8572078017288,1.0966786876086525,346.76134052137644
16:29670367:+,14.200747863326825,771.4887367409397,182.1887748478838,870.8572078017288,1.0966786876086525,346.76134052137644
16:29670438:+,14.200747863326825,771.4887367409397,182.1887748478838,870.8572078017288,1.0966786876086525,346.76134052137644
16:48352442:+,162.05677293436167,114.50345453559063,105.78679767682807,130.49007057683508,26.051748239461283,207.7902067659948
17:35271152:+,18.459456295253744,116.69131914978989,68.33340788602324,657.1082891707263,7.845971839541137,722.355368115377
17:35468849:-,15.266749055940114,3.8787234980003493,4.689580992135281,823.522816258557,1.585673416810331,527.7269756978861
17:64322996:-,101.10548473804243,1765.7974918306757,821.6725368256391,99.49758610045707,984.9499106418256,108.20549345582833
18:32072155:+,26.5247903493121,40.26298583395277,61.979073415942665,294.30401703679627,5.086451486947661,154.6498958585713
19:13773208:+,81.87601620557649,36.88219901212096,48.11810993025944,69.28930071380825,3.024802334608646,124.28511214917748
19:13773924:+,81.87601620557649,36.88219901212096,48.11810993025944,69.28930071380825,3.024802334608646,124.28511214917748
19:17553031:+,1483.818500197177,0.9883839330530997,1.0860700028044241,3.012987486423679,4.032230228593669,1.6476076928802972
19:38868387:-,64.22676319151307,47.69261935629984,17.601361518148575,104.9716826284185,44.037162299280965,81.73993031782192
19:5909608:+,33.87762545103992,18.065097308443836,19.641971055925065,35.99472942909078,5.984537204194123,52.16687598278206
1:150731136:-,373.16851469184104,3125.790368711123,4859.688862277074,218.6781315806519,2281.480785276529,113.97204455992198
1:150731221:-,373.16851469184104,3125.790368711123,4859.688862277074,218.6781315806519,2281.480785276529,113.97204455992198
1:150731275:-,373.16851469184104,3125.790368711123,4859.688862277074,218.6781315806519,2281.480785276529,113.97204455992198
1:150731310:-,373.16851469184104,3125.790368711123,4859.688862277074,218.6781315806519,2281.480785276529,113.97204455992198
1:150731936:-,373.16851469184104,3125.790368711123,4859.688862277074,218.6781315806519,2281.480785276529,113.97204455992198
1:150731999:-,373.16851469184104,3125.790368711123,4859.688862277074,218.6781315806519,2281.480785276529,113.97204455992198
1:150732136:-,373.16851469184104,3125.790368711123,4859.688862277074,218.6781315806519,2281.480785276529,113.97204455992198
1:150732159:-,373.16851469184104,3125.790368711123,4859.688862277074,218.6781315806519,2281.480785276529,113.97204455992198
1:150732177:-,373.16851469184104,3125.790368711123,4859.688862277074,218.6781315806519,2281.480785276529,113.97204455992198
1:150732771:-,373.16851469184104,3125.790368711123,4859.688862277074,218.6781315806519,2281.480785276529,113.97204455992198
1:1663537:-,136.03416113158374,55.63448422371807,70.72464240450705,123.85646120995985,71.7783010187213,169.13204426816702
1:1664100:-,136.03416113158374,55.63448422371807,70.72464240450705,123.85646120995985,71.7783010187213,169.13204426816702
1:204555737:+,329.3483847096943,176.35826439200798,188.72204093285913,233.7135491930805,161.5630610623322,287.72881955927227
1:204556512:+,329.3483847096943,176.35826439200798,188.72204093285913,233.7135491930805,161.5630610623322,287.72881955927227
1:204557531:+,329.3483847096943,176.35826439200798,188.72204093285913,233.7135491930805,161.5630610623322,287.72881955927227
1:89183643:-,60.069790302810844,208.24164202892592,89.18130460093859,194.07451834660958,115.06745888880656,156.45843929087567
1:89183695:-,60.069790302810844,208.24164202892592,89.18130460093859,194.07451834660958,115.06745888880656,156.45843929087567
20:36892573:-,41.946737708635425,1128.7478969680733,1028.1826964906338,472.80763235594105,98.01036127967552,558.5028250475839
20:37519169:-,127.7278783659249,62.70521066249299,69.49281280995886,60.922786038476985,24.994614334897804,71.65194003453459
20:45079067:+,265.76571026670894,209.41286835450035,231.5642490879358,415.569947763928,516.9949133781329,417.4768706805939
20:45079200:+,265.76571026670894,209.41286835450035,231.5642490879358,415.569947763928,516.9949133781329,417.4768706805939
21:33264782:+,58.85599137882872,97.19202243513894,69.83005387820874,124.13406012563073,130.43886623915205,82.43684261782604
22:17110376:+,58.19981540068409,324.5902973003683,769.3766751694168,136.8756549899876,1183.9447338549912,251.50391472068637
22:17113458:+,58.19981540068409,324.5902973003683,769.3766751694168,136.8756549899876,1183.9447338549912,251.50391472068637
22:24573660:+,0.001,0.001,0.001,0.001,0.001,0.001
22:39018766:+,172.7259917020082,131.61287362408459,85.8692418918449,228.75240393289124,3.5134660676592344,66.16776600400432
22:39018906:+,172.7259917020082,131.61287362408459,85.8692418918449,228.75240393289124,3.5134660676592344,66.16776600400432
22:39019866:+,172.7259917020082,131.61287362408459,85.8692418918449,228.75240393289124,3.5134660676592344,66.16776600400432
22:39020075:+,172.7259917020082,131.61287362408459,85.8692418918449,228.75240393289124,3.5134660676592344,66.16776600400432
22:39032721:+,10.478456978790666,2.6904713666944238,0.7542303872002378,9.663304397793965,0.33595578076985244,5.3040896655644385
22:39032848:+,10.478456978790666,2.6904713666944238,0.7542303872002378,9.663304397793965,0.33595578076985244,5.3040896655644385
2:201164009:+,255.65054260134175,405.7108809036341,446.4027102657102,627.3231219043018,1683.1425132939232,378.6690903901281
2:201164143:+,255.65054260134175,405.7108809036341,446.4027102657102,627.3231219043018,1683.1425132939232,378.6690903901281
2:201219194:+,69.9259865875793,91.3220654172818,76.97885551693656,167.43324079010625,25.345471668144466,88.26651059004516
2:201286638:+,143.807698705543,122.38469519927921,114.47593298102404,303.00858728568755,451.1094968951937,185.4863643509446
2:201287382:+,143.807698705543,122.38469519927921,114.47593298102404,303.00858728568755,451.1094968951937,185.4863643509446
3:10151790:+,198.01615726137314,100.82254121906439,134.5123917048036,178.2569980158578,51.24010899285257,137.5799941594284
3:10152309:+,198.01615726137314,100.82254121906439,134.5123917048036,178.2569980158578,51.24010899285257,137.5799941594284
3:10152592:+,198.01615726137314,100.82254121906439,134.5123917048036,178.2569980158578,51.24010899285257,137.5799941594284
3:10152688:+,198.01615726137314,100.82254121906439,134.5123917048036,178.2569980158578,51.24010899285257,137.5799941594284
3:10152870:+,198.01615726137314,100.82254121906439,134.5123917048036,178.2569980158578,51.24010899285257,137.5799941594284
